country_code,country_name_abbreviation
4,Afghanistan
8,Albania
12,Algeria
16,American Samoa
20,Andorra
24,Angola
28,Antigua and Barbuda
31,Azerbaijan
32,Argentina
36,Australia
40,Austria
44,Bahamas
48,Bahrain
50,Bangladesh
51,Armenia
52,Barbados
58,Belgium-Luxembourg
60,Bermuda
64,Bhutan
68,Bolivia (Plurinational State of)
70,Bosnia Herzegovina
76,Brazil
84,Belize
86,Br. Indian Ocean Terr.
90,Solomon Isds
92,Br. Virgin Isds
96,Brunei Darussalam
100,Bulgaria
104,Myanmar
108,Burundi
112,Belarus
116,Cambodia
120,Cameroon
124,Canada
132,Cabo Verde
136,Cayman Isds
140,Central African Rep.
144,Sri Lanka
148,Chad
152,Chile
156,China
162,Christmas Isds
166,Cocos Isds
170,Colombia
174,Comoros
178,Congo
180,Dem. Rep. of the Congo
184,Cook Isds
188,Costa Rica
191,Croatia
192,Cuba
196,Cyprus
200,Czechoslovakia
203,Czechia
204,Benin
208,Denmark
212,Dominica
214,Dominican Rep.
218,Ecuador
222,El Salvador
226,Equatorial Guinea
231,Ethiopia
232,Eritrea
233,Estonia
238,Falkland Isds (Malvinas)
242,Fiji
246,Finland
251,France
258,French Polynesia
260,Fr. South Antarctic Terr.
262,Djibouti
266,Gabon
268,Georgia
270,Gambia
275,State of Palestine
276,Germany
288,Ghana
292,Gibraltar
296,Kiribati
300,Greece
304,Greenland
308,Grenada
316,Guam
320,Guatemala
324,Guinea
328,Guyana
332,Haiti
340,Honduras
344,"China, Hong Kong SAR"
348,Hungary
352,Iceland
360,Indonesia
364,Iran
368,Iraq
372,Ireland
376,Israel
381,Italy
384,Côte d'Ivoire
388,Jamaica
392,Japan
398,Kazakhstan
400,Jordan
404,Kenya
408,Dem. People's Rep. of Korea
410,Rep. of Korea
414,Kuwait
417,Kyrgyzstan
418,Lao People's Dem. Rep.
422,Lebanon
428,Latvia
430,Liberia
434,Libya
440,Lithuania
446,"China, Macao SAR"
450,Madagascar
454,Malawi
458,Malaysia
462,Maldives
466,Mali
470,Malta
478,Mauritania
480,Mauritius
484,Mexico
490,"Other Asia, nes"
496,Mongolia
498,Rep. of Moldova
499,Montenegro
500,Montserrat
504,Morocco
508,Mozambique
512,Oman
520,Nauru
524,Nepal
528,Netherlands
530,Neth. Antilles
531,Curaçao
533,Aruba
534,Saint Maarten
535,Bonaire
540,New Caledonia
548,Vanuatu
554,New Zealand
558,Nicaragua
562,Niger
566,Nigeria
570,Niue
574,Norfolk Isds
579,Norway
580,N. Mariana Isds
583,FS Micronesia
584,Marshall Isds
585,Palau
586,Pakistan
591,Panama
598,Papua New Guinea
600,Paraguay
604,Peru
608,Philippines
612,Pitcairn
616,Poland
620,Portugal
624,Guinea-Bissau
626,Timor-Leste
634,Qatar
642,Romania
643,Russian Federation
646,Rwanda
652,Saint Barthélemy
654,Saint Helena
659,Saint Kitts and Nevis
660,Anguilla
662,Saint Lucia
666,Saint Pierre and Miquelon
670,Saint Vincent and the Grenadines
674,San Marino
678,Sao Tome and Principe
682,Saudi Arabia
686,Senegal
688,Serbia
690,Seychelles
694,Sierra Leone
697,"Europe EFTA, nes"
699,India
702,Singapore
703,Slovakia
704,Viet Nam
705,Slovenia
706,Somalia
711,So. African Customs Union
716,Zimbabwe
724,Spain
728,South Sudan
729,Sudan
736,Fmr Sudan
740,Suriname
752,Sweden
757,Switzerland
760,Syria
762,Tajikistan
764,Thailand
768,Togo
772,Tokelau
776,Tonga
780,Trinidad and Tobago
784,United Arab Emirates
788,Tunisia
792,Turkey
795,Turkmenistan
796,Turks and Caicos Isds
798,Tuvalu
800,Uganda
804,Ukraine
807,TFYR of Macedonia
810,Fmr USSR
818,Egypt
826,United Kingdom
834,United Rep. of Tanzania
842,USA
854,Burkina Faso
858,Uruguay
860,Uzbekistan
862,Venezuela
876,Wallis and Futuna Isds
882,Samoa
887,Yemen
891,Serbia and Montenegro
894,Zambia
