energy,hs6
Coal,270111
Coal,270112
Coal,270119
Coal,270120
Coal,270210
Coal,270220
Coal,270400
Crude Oil,270900
Fuel Oil,270710
Fuel Oil,270712
Fuel Oil,270714
Fuel Oil,270716
Fuel Oil,270718
Fuel Oil,270720
Fuel Oil,270730
Fuel Oil,270740
Fuel Oil,270750
Fuel Oil,270760
Fuel Oil,270791
Fuel Oil,270799
Fuel Oil,271000
Fuel Oil,271012
Fuel Oil,271019
Fuel Oil,271020
Fuel Oil,271311
Fuel Oil,271312
Fuel Oil,271320
Fuel Oil,271390
LNG,270500
LNG,271111
LNG,271112
LNG,271113
LNG,271119
LNG,271121
LNG,271129
